"activity label" "subject" "mean(tBodyAcc-mean()-X)" "mean(tBodyAcc-mean()-Y)" "mean(tBodyAcc-mean()-Z)" "mean(tBodyAcc-std()-X)" "mean(tBodyAcc-std()-Y)" "mean(tBodyAcc-std()-Z)"
"LAYING" 20 -0.666304728667949 -0.90200587075 -0.661073212317949 -0.300184202926154 -0.665410914133333 -0.885546602980769
"LAYING" 24 -0.667598821732152 -0.545824666764829 -0.623173418995407 -0.75596246933832 -0.650224585995801 -0.512105659766325
"LAYING" 27 -0.733961955179195 -0.639905816915201 -0.509908991709799 -0.444999521773826 -0.458081821341946 -0.591236006012517
"LAYING" 28 -0.66911503483377 -0.751252646860471 -0.804345445755497 -0.737566136687435 -0.652956215763351 -0.60201426980733
"LAYING" 29 -0.529096038718401 -0.481165261161047 -0.490800146307267 -0.599082833418401 -0.627905550221512 -0.822457785561047
"LAYING" 30 -0.763431204693734 -0.692382266120366 -0.589526018903394 -0.528166334601044 -0.479693143827676 -0.297475679888773
"SITTING" 12 -0.893880714746269 -0.898165258783582 -0.282260605574627 -0.475585667525373 -0.858389850701493 -0.900103626798507
"SITTING" 13 -0.580367566819572 -0.467621640379235 -0.732608219100917 -0.821468968346483 -0.54093693516107 -0.441248746214067
"SITTING" 17 -0.48064034788125 -0.459124236697187 -0.459017314007812 -0.664336413244688 -0.7662259611825 -0.550385770596875
"SITTING" 18 -0.374507669933333 -0.999796841666667 -0.765542496566667 -0.197704551 -0.2463933939 -0.999636536
"SITTING" 19 -0.806065355291667 -0.719524663640556 -0.572857961296667 -0.548424840386472 -0.521558960700917 -0.368336506220556
"SITTING" 21 -0.62807667959777 -0.726075741134804 -0.748704137228676 -0.752522004357353 -0.694135695544363 -0.585502455875613
"SITTING" 22 -0.569977991914141 -0.437104515726263 -0.320187108893939 -0.443980859653535 -0.591302365216162 -0.667170734393939
"STANDING" 18 -0.833282313397305 -0.696827460437126 -0.495776639082036 -0.579675695853293 -0.846871952465269 -0.65127382913024
"STANDING" 20 -0.359771965863687 -0.540826807031566 -0.883112008727273 -0.749244091151515 -0.353849874170753 -0.561909464330051
"STANDING" 22 -0.38458139504878 -0.477011019382114 -0.716757576852846 -0.838923660382114 -0.92856178195122 -0.912366112504065
"STANDING" 23 -0.801864649394624 -0.772716992123656 -0.656200908660484 -0.590834414773118 -0.513739610372849 -0.487545944278763
"STANDING" 25 -0.597692682842738 -0.683330182533252 -0.763084695579462 -0.768868985525917 -0.734715248725428 -0.640151817520367
"STANDING" 26 -0.542525673020663 -0.541676671702036 -0.540279840431199 -0.629410218139796 -0.705285948459184 -0.778396632184439
"STANDING" 27 -0.8456544 -0.906584480615385 -0.927729281179487 -0.896314241525641 -0.75415479901282 -0.336438360512821
"WALKING" 1 -0.483064942194236 -0.620544904651009 -0.714233580136859 -0.789686737981268 -0.807586007651297 -0.675207390679827
"WALKING" 2 -0.377544149409603 -0.745730592268874 -0.846696760741457 -0.504626616555728 -0.378095588007252 -0.744217728240397
"WALKING" 3 -0.64091500391173 -0.562430317061877 -0.45041598209912 -0.46629643869651 -0.531313092755982 -0.537032390124927
"WALKING" 4 -0.885348554015155 -0.599841335407732 -0.326011300025773 -0.667933116620619 -0.887807097350515 -0.566685438866495
"WALKING" 5 -0.709905036890728 -0.763759315196358 -0.790992637592715 -0.779681222711921 -0.660175509071854 -0.391727863102318
"WALKING" 6 -0.620437762667797 -0.434360180383475 -0.357379855123729 -0.45522969539661 -0.582527521851102 -0.561440053359746
"WALKING_DOWNSTAIRS" 10 -0.636554111102564 -0.35651531227 -0.670039414767094 -0.875992732783761 -0.554678956538462 -0.341782420044444
"WALKING_DOWNSTAIRS" 12 -0.435850197674194 -0.839584154913979 -0.877703551064516 -0.416739909474194 -0.406229423297849 -0.836275609491667
"WALKING_DOWNSTAIRS" 14 -0.48977897957377 -0.650055852139754 -0.677758213121721 -0.840536200361352 -0.887374137877049 -0.619675811892623
"WALKING_DOWNSTAIRS" 15 -0.777297853143293 -0.633162809716159 -0.435838589441311 -0.493041209158537 -0.465303619465549 -0.277402217453963
"WALKING_DOWNSTAIRS" 16 -0.64990776318224 -0.758502673333333 -0.681138962715847 -0.777569437208197 -0.720075209147268 -0.386696766906831
"WALKING_DOWNSTAIRS" 17 -0.841800488458333 -0.862112965416667 -0.208326310572917 -0.256552934779167 -0.262728559058333 -0.122302999770833
"WALKING_UPSTAIRS" 4 -0.487769616545528 -0.320812173641463 -0.80240276904065 -0.870074699577236 -0.447541898752846 -0.393696913300813
"WALKING_UPSTAIRS" 6 -0.304533712689888 -0.537514802764045 -0.655763138168539 -0.916047494421348 -0.907067966629214 -0.810138157707865
"WALKING_UPSTAIRS" 7 -0.835014722848701 -0.848799135701299 -0.744293484350649 -0.631909088788636 -0.533231101311039 -0.37671080493052
"WALKING_UPSTAIRS" 8 -0.455895182326192 -0.444731625262989 -0.549916992040569 -0.665165583431317 -0.791660961136655 -0.797772738206406
"WALKING_UPSTAIRS" 9 -0.549741016444792 -0.851739281494097 -0.741053753548611 -0.433916012771875 -0.482106565269549 -0.840412341677431
"WALKING_UPSTAIRS" 10 -0.880245571833333 -0.88791094175 -0.276927989446667 -0.651281304471667 -0.824418172866667 -0.85357436305
"WALKING_UPSTAIRS" 11 -0.861329608000823 -0.808298449249367 -0.677290790660127 -0.600874854227848 -0.498755776713703 -0.359866267629652
"WALKING_UPSTAIRS" 14 -0.372543384177215 -0.289923597962025 -0.31141139886962 -0.461952102636709 -0.766748919493671 -0.818843442139241
